	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
S0300_49.8M	49.8	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0324_49.8M	49.8	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0002_50M	50	0-50	0-100	EPI	N_ITCZ	AON	35.0-35.5	9.0-11.9
S0016_50M	50	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0028_50M	50	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0138_50M	50	0-50	0-100	EPI	N_ITCZ	AON	37.0-37.5	24-26.9
S0158_50M	50	0-50	0-100	EPI	N_ITCZ	AON	35.5-36.0	15-17.9
S0182_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	18-20.9
S0185_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	36.5-37.0	21-23.9
S0197_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	36.5-37.0	27-29.9
S0200_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	36.0-36.5	27-29.9
S0221_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	12-14.9
S0224_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	18-20.9
S0227_50M	50	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	18-20.9
S0331_50M	50	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0381_50M	50	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0391_50M	50	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0413_50M	50	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0446_50M	50	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0461_50.2M	50.2	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	12-14.9
S0313_50.3M	50.3	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0245_50.4M	50.4	0-50	0-100	EPI	N_ITCZ	AON	36.5-37.0	21-23.9
S0280_50.4M	50.4	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0293_50.4M	50.4	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0265_50.6M	50.6	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0308_50.6M	50.6	0-50	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0479_50.9M	50.9	0-50	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0212_51M	51	51-100	0-100	EPI	S_ITCZ	AOS	33.0-33.5	6.0-8.9
S0215_51M	51	51-100	0-100	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0218_51M	51	51-100	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0255_51M	51	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0295_51M	51	51-100	0-100	EPI	N_ITCZ	AON	36.5-37.0	18-20.9
S0339_51M	51	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0352_51M	51	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0357_51M	51	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0433_51M	51	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0275_51.1M	51.1	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0422_51.1M	51.1	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0417_51.2M	51.1	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0473_51.2M	51.2	51-100	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
S0497_51.2M	51.2	51-100	0-100	EPI	S_ITCZ	AOS	35.0-35.5	12-14.9
S0270_51.3M	51.2	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0451_51.4M	51.3	51-100	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
MED_25_50M	51.4	51-100	0-100	EPI	N_ITCZ	MED	38.0-38.5	15-17.9
S0303_51.7M	51.7	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	21-23.9
S0238_51.8M	51.7	51-100	0-100	EPI	N_ITCZ	AON	35.5-36.0	18-20.9
S0022_52M	51.8	51-100	0-100	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
S0347_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0369_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0386_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0403_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0408_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0428_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0441_52M	52	51-100	0-100	EPI	S_ITCZ	POS	35.5-36.0	18-20.9
S0468_52.1M	52.1	51-100	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
PSE_100_50M	57.6	51-100	0-100	EPI	S_ITCZ	POS	35.0-35.5	18-20.9
S0232_57.7M	57.7	51-100	0-100	EPI	N_ITCZ	AON	36.5-37.0	24-26.9
S0115_57.8M	57.8	51-100	0-100	EPI	N_ITCZ	AON	35.0-35.5	18-20.9
PON_138_60M	58.1	51-100	0-100	EPI	N_ITCZ	PON	34.5-35.0	18-20.9
ION_41_60M	58.2	51-100	0-100	EPI	N_ITCZ	ION	36.0-36.5	27-29.9
S0462_59.8M	59.8	51-100	0-100	EPI	S_ITCZ	AOS	34.5-35.0	12-14.9
RED_34_60M	60.1	51-100	0-100	EPI	N_ITCZ	RED	38.5-39.0	27-29.9
S0091_60.7M	60.7	51-100	0-100	EPI	N_ITCZ	AON	37.0-37.5	24-26.9
S0452_60.9M	60.9	51-100	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
S0206_61M	61	51-100	0-100	EPI	S_ITCZ	AOS	36.5-37.0	24-26.9
S0065_61.2M	61.2	51-100	0-100	EPI	N_ITCZ	AON	36.0-36.5	24-26.9
S0480_61.4M	61.4	51-100	0-100	EPI	S_ITCZ	AOS	34.5-35.0	9.0-11.9
